,CL_UNIT,Code,DataValue,GeoFips,GeoName,TimePeriod,UNIT_MULT
0,Index,IRPD1-1,88.8,01000,Alabama,2013,0
1,Index,IRPD1-1,89.4,01000,Alabama,2014,0
2,Index,IRPD1-1,89.3,01000,Alabama,2015,0
3,Index,IRPD1-1,90.0,01000,Alabama,2016,0
4,Index,IRPD1-1,91.6,01000,Alabama,2017,0
5,Index,IRPD1-1,106.1,02000,Alaska,2013,0
6,Index,IRPD1-1,109.2,02000,Alaska,2014,0
7,Index,IRPD1-1,108.6,02000,Alaska,2015,0
8,Index,IRPD1-1,109.2,02000,Alaska,2016,0
9,Index,IRPD1-1,110.4,02000,Alaska,2017,0
10,Index,IRPD1-1,97.6,04000,Arizona,2013,0
11,Index,IRPD1-1,98.5,04000,Arizona,2014,0
12,Index,IRPD1-1,98.9,04000,Arizona,2015,0
13,Index,IRPD1-1,99.8,04000,Arizona,2016,0
14,Index,IRPD1-1,101.8,04000,Arizona,2017,0
15,Index,IRPD1-1,88.8,05000,Arkansas,2013,0
16,Index,IRPD1-1,89.2,05000,Arkansas,2014,0
17,Index,IRPD1-1,89.9,05000,Arkansas,2015,0
18,Index,IRPD1-1,90.4,05000,Arkansas,2016,0
19,Index,IRPD1-1,91.4,05000,Arkansas,2017,0
20,Index,IRPD1-1,114.4,06000,California,2013,0
21,Index,IRPD1-1,116.8,06000,California,2014,0
22,Index,IRPD1-1,117.1,06000,California,2015,0
23,Index,IRPD1-1,119.0,06000,California,2016,0
24,Index,IRPD1-1,121.4,06000,California,2017,0
25,Index,IRPD1-1,103.2,08000,Colorado,2013,0
26,Index,IRPD1-1,104.7,08000,Colorado,2014,0
27,Index,IRPD1-1,105.2,08000,Colorado,2015,0
28,Index,IRPD1-1,106.7,08000,Colorado,2016,0
29,Index,IRPD1-1,109.1,08000,Colorado,2017,0
30,Index,IRPD1-1,109.8,09000,Connecticut,2013,0
31,Index,IRPD1-1,111.6,09000,Connecticut,2014,0
32,Index,IRPD1-1,111.6,09000,Connecticut,2015,0
33,Index,IRPD1-1,112.7,09000,Connecticut,2016,0
34,Index,IRPD1-1,114.1,09000,Connecticut,2017,0
35,Index,IRPD1-1,101.8,10000,Delaware,2013,0
36,Index,IRPD1-1,103.9,10000,Delaware,2014,0
37,Index,IRPD1-1,102.9,10000,Delaware,2015,0
38,Index,IRPD1-1,104.0,10000,Delaware,2016,0
39,Index,IRPD1-1,105.8,10000,Delaware,2017,0
40,Index,IRPD1-1,118.4,11000,District of Columbia,2013,0
41,Index,IRPD1-1,121.4,11000,District of Columbia,2014,0
42,Index,IRPD1-1,120.2,11000,District of Columbia,2015,0
43,Index,IRPD1-1,119.9,11000,District of Columbia,2016,0
44,Index,IRPD1-1,123.6,11000,District of Columbia,2017,0
45,Index,IRPD1-1,100.4,12000,Florida,2013,0
46,Index,IRPD1-1,102.1,12000,Florida,2014,0
47,Index,IRPD1-1,102.4,12000,Florida,2015,0
48,Index,IRPD1-1,103.7,12000,Florida,2016,0
49,Index,IRPD1-1,105.6,12000,Florida,2017,0
50,Index,IRPD1-1,93.4,13000,Georgia,2013,0
51,Index,IRPD1-1,94.5,13000,Georgia,2014,0
52,Index,IRPD1-1,95.5,13000,Georgia,2015,0
53,Index,IRPD1-1,96.0,13000,Georgia,2016,0
54,Index,IRPD1-1,97.8,13000,Georgia,2017,0
55,Index,IRPD1-1,119.7,15000,Hawaii,2013,0
56,Index,IRPD1-1,121.5,15000,Hawaii,2014,0
57,Index,IRPD1-1,122.7,15000,Hawaii,2015,0
58,Index,IRPD1-1,123.2,15000,Hawaii,2016,0
59,Index,IRPD1-1,125.2,15000,Hawaii,2017,0
60,Index,IRPD1-1,94.3,16000,Idaho,2013,0
61,Index,IRPD1-1,96.1,16000,Idaho,2014,0
62,Index,IRPD1-1,96.0,16000,Idaho,2015,0
63,Index,IRPD1-1,96.5,16000,Idaho,2016,0
64,Index,IRPD1-1,98.3,16000,Idaho,2017,0
65,Index,IRPD1-1,100.9,17000,Illinois,2013,0
66,Index,IRPD1-1,101.9,17000,Illinois,2014,0
67,Index,IRPD1-1,101.9,17000,Illinois,2015,0
68,Index,IRPD1-1,102.5,17000,Illinois,2016,0
69,Index,IRPD1-1,104.1,17000,Illinois,2017,0
70,Index,IRPD1-1,92.4,18000,Indiana,2013,0
71,Index,IRPD1-1,93.3,18000,Indiana,2014,0
72,Index,IRPD1-1,92.7,18000,Indiana,2015,0
73,Index,IRPD1-1,93.3,18000,Indiana,2016,0
74,Index,IRPD1-1,94.9,18000,Indiana,2017,0
75,Index,IRPD1-1,91.6,19000,Iowa,2013,0
76,Index,IRPD1-1,92.8,19000,Iowa,2014,0
77,Index,IRPD1-1,92.6,19000,Iowa,2015,0
78,Index,IRPD1-1,93.3,19000,Iowa,2016,0
79,Index,IRPD1-1,94.9,19000,Iowa,2017,0
80,Index,IRPD1-1,92.3,20000,Kansas,2013,0
81,Index,IRPD1-1,93.3,20000,Kansas,2014,0
82,Index,IRPD1-1,92.8,20000,Kansas,2015,0
83,Index,IRPD1-1,93.6,20000,Kansas,2016,0
84,Index,IRPD1-1,95.1,20000,Kansas,2017,0
85,Index,IRPD1-1,90.3,21000,Kentucky,2013,0
86,Index,IRPD1-1,90.6,21000,Kentucky,2014,0
87,Index,IRPD1-1,91.3,21000,Kentucky,2015,0
88,Index,IRPD1-1,91.3,21000,Kentucky,2016,0
89,Index,IRPD1-1,92.9,21000,Kentucky,2017,0
90,Index,IRPD1-1,92.2,22000,Louisiana,2013,0
91,Index,IRPD1-1,93.4,22000,Louisiana,2014,0
92,Index,IRPD1-1,93.2,22000,Louisiana,2015,0
93,Index,IRPD1-1,93.9,22000,Louisiana,2016,0
94,Index,IRPD1-1,95.2,22000,Louisiana,2017,0
95,Index,IRPD1-1,99.6,23000,Maine,2013,0
96,Index,IRPD1-1,100.7,23000,Maine,2014,0
97,Index,IRPD1-1,102.0,23000,Maine,2015,0
98,Index,IRPD1-1,102.6,23000,Maine,2016,0
99,Index,IRPD1-1,104.0,23000,Maine,2017,0
100,Index,IRPD1-1,111.2,24000,Maryland,2013,0
101,Index,IRPD1-1,113.2,24000,Maryland,2014,0
102,Index,IRPD1-1,112.8,24000,Maryland,2015,0
103,Index,IRPD1-1,113.6,24000,Maryland,2016,0
104,Index,IRPD1-1,115.6,24000,Maryland,2017,0
105,Index,IRPD1-1,107.9,25000,Massachusetts,2013,0
106,Index,IRPD1-1,110.2,25000,Massachusetts,2014,0
107,Index,IRPD1-1,110.7,25000,Massachusetts,2015,0
108,Index,IRPD1-1,112.3,25000,Massachusetts,2016,0
109,Index,IRPD1-1,114.0,25000,Massachusetts,2017,0
110,Index,IRPD1-1,95.3,26000,Michigan,2013,0
111,Index,IRPD1-1,96.1,26000,Michigan,2014,0
112,Index,IRPD1-1,95.7,26000,Michigan,2015,0
113,Index,IRPD1-1,96.6,26000,Michigan,2016,0
114,Index,IRPD1-1,98.3,26000,Michigan,2017,0
115,Index,IRPD1-1,98.7,27000,Minnesota,2013,0
116,Index,IRPD1-1,100.1,27000,Minnesota,2014,0
117,Index,IRPD1-1,100.0,27000,Minnesota,2015,0
118,Index,IRPD1-1,101.1,27000,Minnesota,2016,0
119,Index,IRPD1-1,103.0,27000,Minnesota,2017,0
120,Index,IRPD1-1,88.2,28000,Mississippi,2013,0
121,Index,IRPD1-1,88.5,28000,Mississippi,2014,0
122,Index,IRPD1-1,88.7,28000,Mississippi,2015,0
123,Index,IRPD1-1,89.8,28000,Mississippi,2016,0
124,Index,IRPD1-1,90.6,28000,Mississippi,2017,0
125,Index,IRPD1-1,90.9,29000,Missouri,2013,0
126,Index,IRPD1-1,92.2,29000,Missouri,2014,0
127,Index,IRPD1-1,92.2,29000,Missouri,2015,0
128,Index,IRPD1-1,93.0,29000,Missouri,2016,0
129,Index,IRPD1-1,94.5,29000,Missouri,2017,0
130,Index,IRPD1-1,95.7,30000,Montana,2013,0
131,Index,IRPD1-1,97.3,30000,Montana,2014,0
132,Index,IRPD1-1,97.9,30000,Montana,2015,0
133,Index,IRPD1-1,97.8,30000,Montana,2016,0
134,Index,IRPD1-1,100.0,30000,Montana,2017,0
135,Index,IRPD1-1,91.7,31000,Nebraska,2013,0
136,Index,IRPD1-1,93.0,31000,Nebraska,2014,0
137,Index,IRPD1-1,92.8,31000,Nebraska,2015,0
138,Index,IRPD1-1,93.5,31000,Nebraska,2016,0
139,Index,IRPD1-1,94.7,31000,Nebraska,2017,0
140,Index,IRPD1-1,99.8,32000,Nevada,2013,0
141,Index,IRPD1-1,100.1,32000,Nevada,2014,0
142,Index,IRPD1-1,100.1,32000,Nevada,2015,0
143,Index,IRPD1-1,100.9,32000,Nevada,2016,0
144,Index,IRPD1-1,103.1,32000,Nevada,2017,0
145,Index,IRPD1-1,106.7,33000,New Hampshire,2013,0
146,Index,IRPD1-1,108.6,33000,New Hampshire,2014,0
147,Index,IRPD1-1,108.8,33000,New Hampshire,2015,0
148,Index,IRPD1-1,110.2,33000,New Hampshire,2016,0
149,Index,IRPD1-1,111.8,33000,New Hampshire,2017,0
150,Index,IRPD1-1,114.7,34000,New Jersey,2013,0
151,Index,IRPD1-1,116.9,34000,New Jersey,2014,0
152,Index,IRPD1-1,116.7,34000,New Jersey,2015,0
153,Index,IRPD1-1,117.7,34000,New Jersey,2016,0
154,Index,IRPD1-1,119.3,34000,New Jersey,2017,0
155,Index,IRPD1-1,96.4,35000,New Mexico,2013,0
156,Index,IRPD1-1,97.3,35000,New Mexico,2014,0
157,Index,IRPD1-1,96.6,35000,New Mexico,2015,0
158,Index,IRPD1-1,96.9,35000,New Mexico,2016,0
159,Index,IRPD1-1,98.6,35000,New Mexico,2017,0
160,Index,IRPD1-1,116.5,36000,New York,2013,0
161,Index,IRPD1-1,118.8,36000,New York,2014,0
162,Index,IRPD1-1,119.2,36000,New York,2015,0
163,Index,IRPD1-1,120.6,36000,New York,2016,0
164,Index,IRPD1-1,122.4,36000,New York,2017,0
165,Index,IRPD1-1,92.9,37000,North Carolina,2013,0
166,Index,IRPD1-1,93.8,37000,North Carolina,2014,0
167,Index,IRPD1-1,93.8,37000,North Carolina,2015,0
168,Index,IRPD1-1,94.5,37000,North Carolina,2016,0
169,Index,IRPD1-1,96.5,37000,North Carolina,2017,0
170,Index,IRPD1-1,92.8,38000,North Dakota,2013,0
171,Index,IRPD1-1,94.1,38000,North Dakota,2014,0
172,Index,IRPD1-1,94.7,38000,North Dakota,2015,0
173,Index,IRPD1-1,94.6,38000,North Dakota,2016,0
174,Index,IRPD1-1,95.3,38000,North Dakota,2017,0
175,Index,IRPD1-1,90.5,39000,Ohio,2013,0
176,Index,IRPD1-1,91.8,39000,Ohio,2014,0
177,Index,IRPD1-1,91.8,39000,Ohio,2015,0
178,Index,IRPD1-1,92.6,39000,Ohio,2016,0
179,Index,IRPD1-1,93.9,39000,Ohio,2017,0
180,Index,IRPD1-1,91.0,40000,Oklahoma,2013,0
181,Index,IRPD1-1,91.9,40000,Oklahoma,2014,0
182,Index,IRPD1-1,92.4,40000,Oklahoma,2015,0
183,Index,IRPD1-1,92.5,40000,Oklahoma,2016,0
184,Index,IRPD1-1,94.1,40000,Oklahoma,2017,0
185,Index,IRPD1-1,100.0,41000,Oregon,2013,0
186,Index,IRPD1-1,101.5,41000,Oregon,2014,0
187,Index,IRPD1-1,101.4,41000,Oregon,2015,0
188,Index,IRPD1-1,103.3,41000,Oregon,2016,0
189,Index,IRPD1-1,105.1,41000,Oregon,2017,0
190,Index,IRPD1-1,99.8,42000,Pennsylvania,2013,0
191,Index,IRPD1-1,100.8,42000,Pennsylvania,2014,0
192,Index,IRPD1-1,101.1,42000,Pennsylvania,2015,0
193,Index,IRPD1-1,102.3,42000,Pennsylvania,2016,0
194,Index,IRPD1-1,103.5,42000,Pennsylvania,2017,0
195,Index,IRPD1-1,99.9,44000,Rhode Island,2013,0
196,Index,IRPD1-1,102.5,44000,Rhode Island,2014,0
197,Index,IRPD1-1,102.8,44000,Rhode Island,2015,0
198,Index,IRPD1-1,103.9,44000,Rhode Island,2016,0
199,Index,IRPD1-1,104.2,44000,Rhode Island,2017,0
200,Index,IRPD1-1,91.6,45000,South Carolina,2013,0
201,Index,IRPD1-1,92.4,45000,South Carolina,2014,0
202,Index,IRPD1-1,93.0,45000,South Carolina,2015,0
203,Index,IRPD1-1,94.0,45000,South Carolina,2016,0
204,Index,IRPD1-1,95.6,45000,South Carolina,2017,0
205,Index,IRPD1-1,89.0,46000,South Dakota,2013,0
206,Index,IRPD1-1,90.4,46000,South Dakota,2014,0
207,Index,IRPD1-1,90.5,46000,South Dakota,2015,0
208,Index,IRPD1-1,91.4,46000,South Dakota,2016,0
209,Index,IRPD1-1,93.2,46000,South Dakota,2017,0
210,Index,IRPD1-1,91.8,47000,Tennessee,2013,0
211,Index,IRPD1-1,92.2,47000,Tennessee,2014,0
212,Index,IRPD1-1,92.5,47000,Tennessee,2015,0
213,Index,IRPD1-1,93.8,47000,Tennessee,2016,0
214,Index,IRPD1-1,95.6,47000,Tennessee,2017,0
215,Index,IRPD1-1,97.4,48000,Texas,2013,0
216,Index,IRPD1-1,99.1,48000,Texas,2014,0
217,Index,IRPD1-1,99.6,48000,Texas,2015,0
218,Index,IRPD1-1,100.6,48000,Texas,2016,0
219,Index,IRPD1-1,102.5,48000,Texas,2017,0
220,Index,IRPD1-1,98.8,49000,Utah,2013,0
221,Index,IRPD1-1,99.4,49000,Utah,2014,0
222,Index,IRPD1-1,99.2,49000,Utah,2015,0
223,Index,IRPD1-1,100.9,49000,Utah,2016,0
224,Index,IRPD1-1,102.5,49000,Utah,2017,0
