,CL_UNIT,Code,DataValue,GeoFips,GeoName,TimePeriod,UNIT_MULT
0,Millions of chained 2012 dollars,SQGDP9-1,"17,254,744.0",00000,United States,2015Q1,6
1,Millions of chained 2012 dollars,SQGDP9-1,"17,397,029.0",00000,United States,2015Q2,6
2,Millions of chained 2012 dollars,SQGDP9-1,"17,438,802.0",00000,United States,2015Q3,6
3,Millions of chained 2012 dollars,SQGDP9-1,"17,456,225.0",00000,United States,2015Q4,6
4,Millions of chained 2012 dollars,SQGDP9-1,"17,523,374.0",00000,United States,2016Q1,6
5,Millions of chained 2012 dollars,SQGDP9-1,"17,622,486.0",00000,United States,2016Q2,6
6,Millions of chained 2012 dollars,SQGDP9-1,"17,706,705.0",00000,United States,2016Q3,6
7,Millions of chained 2012 dollars,SQGDP9-1,"17,784,185.0",00000,United States,2016Q4,6
8,Millions of chained 2012 dollars,SQGDP9-1,"17,863,023.0",00000,United States,2017Q1,6
9,Millions of chained 2012 dollars,SQGDP9-1,"17,995,150.0",00000,United States,2017Q2,6
10,Millions of chained 2012 dollars,SQGDP9-1,"18,120,843.0",00000,United States,2017Q3,6
11,Millions of chained 2012 dollars,SQGDP9-1,"18,223,758.0",00000,United States,2017Q4,6
12,Millions of chained 2012 dollars,SQGDP9-1,"18,323,963.0",00000,United States,2018Q1,6
13,Millions of chained 2012 dollars,SQGDP9-1,"18,511,576.0",00000,United States,2018Q2,6
14,Millions of chained 2012 dollars,SQGDP9-1,"18,664,973.0",00000,United States,2018Q3,6
15,Millions of chained 2012 dollars,SQGDP9-1,"18,765,256.0",00000,United States,2018Q4,6
16,Millions of chained 2012 dollars,SQGDP9-1,"18,910,332.0",00000,United States,2019Q1,6
17,Millions of chained 2012 dollars,SQGDP9-1,"187,087.1",01000,Alabama,2015Q1,6
18,Millions of chained 2012 dollars,SQGDP9-1,"189,375.3",01000,Alabama,2015Q2,6
19,Millions of chained 2012 dollars,SQGDP9-1,"189,742.8",01000,Alabama,2015Q3,6
20,Millions of chained 2012 dollars,SQGDP9-1,"188,657.5",01000,Alabama,2015Q4,6
21,Millions of chained 2012 dollars,SQGDP9-1,"188,708.4",01000,Alabama,2016Q1,6
22,Millions of chained 2012 dollars,SQGDP9-1,"190,030.6",01000,Alabama,2016Q2,6
