,CL_UNIT,Code,DataValue,GeoFips,GeoName,TimePeriod,UNIT_MULT
0,Millions of current dollars,SAEXP1-1,"12,287,647.0",00000,United States,2015,6
1,Millions of current dollars,SAEXP1-1,"12,760,282.1",00000,United States,2016,6
2,Millions of current dollars,SAEXP1-1,"13,314,862.9",00000,United States,2017,6
3,Millions of current dollars,SAEXP1-1,"149,745.4",01000,Alabama,2015,6
4,Millions of current dollars,SAEXP1-1,"153,456.5",01000,Alabama,2016,6
5,Millions of current dollars,SAEXP1-1,"158,374.9",01000,Alabama,2017,6
6,Millions of current dollars,SAEXP1-1,"33,504.1",02000,Alaska,2015,6
7,Millions of current dollars,SAEXP1-1,"34,332.0",02000,Alaska,2016,6
8,Millions of current dollars,SAEXP1-1,"35,537.1",02000,Alaska,2017,6
9,Millions of current dollars,SAEXP1-1,"221,710.7",04000,Arizona,2015,6
10,Millions of current dollars,SAEXP1-1,"229,755.5",04000,Arizona,2016,6
11,Millions of current dollars,SAEXP1-1,"242,400.0",04000,Arizona,2017,6
12,Millions of current dollars,SAEXP1-1,"91,201.1",05000,Arkansas,2015,6
13,Millions of current dollars,SAEXP1-1,"94,712.5",05000,Arkansas,2016,6
14,Millions of current dollars,SAEXP1-1,"98,765.8",05000,Arkansas,2017,6
15,Millions of current dollars,SAEXP1-1,"1,589,353.4",06000,California,2015,6
16,Millions of current dollars,SAEXP1-1,"1,671,196.1",06000,California,2016,6
17,Millions of current dollars,SAEXP1-1,"1,754,083.3",06000,California,2017,6
18,Millions of current dollars,SAEXP1-1,"214,032.4",08000,Colorado,2015,6
19,Millions of current dollars,SAEXP1-1,"224,731.6",08000,Colorado,2016,6
20,Millions of current dollars,SAEXP1-1,"236,838.6",08000,Colorado,2017,6
21,Millions of current dollars,SAEXP1-1,"172,445.3",09000,Connecticut,2015,6
22,Millions of current dollars,SAEXP1-1,"176,371.9",09000,Connecticut,2016,6
23,Millions of current dollars,SAEXP1-1,"181,992.1",09000,Connecticut,2017,6
24,Millions of current dollars,SAEXP1-1,"38,239.7",10000,Delaware,2015,6
25,Millions of current dollars,SAEXP1-1,"39,353.4",10000,Delaware,2016,6
26,Millions of current dollars,SAEXP1-1,"40,738.8",10000,Delaware,2017,6
27,Millions of current dollars,SAEXP1-1,"38,916.9",11000,District of Columbia,2015,6
28,Millions of current dollars,SAEXP1-1,"40,440.2",11000,District of Columbia,2016,6
29,Millions of current dollars,SAEXP1-1,"42,272.9",11000,District of Columbia,2017,6
30,Millions of current dollars,SAEXP1-1,"763,109.0",12000,Florida,2015,6
