DATE,PAYEMS
2010-01-01,129807
2010-02-01,129715
2010-03-01,129895
2010-04-01,130132
2010-05-01,130666
2010-06-01,130530
2010-07-01,130442
2010-08-01,130437
2010-09-01,130373
2010-10-01,130642
2010-11-01,130765
2010-12-01,130839
2011-01-01,130859
2011-02-01,131072
2011-03-01,131304
2011-04-01,131625
2011-05-01,131720
2011-06-01,131955
2011-07-01,132016
2011-08-01,132138
2011-09-01,132374
2011-10-01,132578
2011-11-01,132710
2011-12-01,132914
2012-01-01,133269
2012-02-01,133531
2012-03-01,133769
2012-04-01,133852
2012-05-01,133951
2012-06-01,134023
2012-07-01,134176
2012-08-01,134346
2012-09-01,134535
2012-10-01,134693
2012-11-01,134851
2012-12-01,135088
2013-01-01,135283
2013-02-01,135562
2013-03-01,135698
2013-04-01,135890
2013-05-01,136114
2013-06-01,136295
2013-07-01,136400
2013-08-01,136642
2013-09-01,136831
2013-10-01,137056
2013-11-01,137323
2013-12-01,137390
2014-01-01,137567
2014-02-01,137735
2014-03-01,137985
2014-04-01,138312
2014-05-01,138533
2014-06-01,138857
2014-07-01,139084
2014-08-01,139272
2014-09-01,139583
2014-10-01,139841
2014-11-01,140127
2014-12-01,140396
2015-01-01,140609
2015-02-01,140857
2015-03-01,140934
2015-04-01,141234
2015-05-01,141553
2015-06-01,141723
2015-07-01,142016
2015-08-01,142138
2015-09-01,142271
2015-10-01,142610
2015-11-01,142845
2015-12-01,143125
2016-01-01,143215
2016-02-01,143447
2016-03-01,143681
2016-04-01,143892
2016-05-01,143907
2016-06-01,144189
2016-07-01,144525
2016-08-01,144660
2016-09-01,144930
2016-10-01,145058
2016-11-01,145228
2016-12-01,145443
2017-01-01,145695
2017-02-01,145836
2017-03-01,145963
2017-04-01,146176
2017-05-01,146304
2017-06-01,146533
2017-07-01,146737
2017-08-01,146924
2017-09-01,146942
2017-10-01,147202
2017-11-01,147422
2017-12-01,147596
2018-01-01,147767
2018-02-01,148097
2018-03-01,148279
2018-04-01,148475
2018-05-01,148745
2018-06-01,149007
2018-07-01,149185
2018-08-01,149467
2018-09-01,149575
2018-10-01,149852
2018-11-01,150048
2018-12-01,150275
2019-01-01,150587
2019-02-01,150643
2019-03-01,150796
2019-04-01,151012
2019-05-01,151084
2019-06-01,151308
